45,25,0,6,19,5,0
36,25,5,11,14,5,4
43,24,5,15,11,1,1
32.2,28.8,6,21,0,12,0
39.2,22.8,0,19,8,6,5
43,23,6,19,8,1,0
41,25,6,18,7,0,3
38,24,5,20,6,2,5
45,23,0,8,19,5,0
36,24,5,19,7,6,3
36,23,5,19,8,7,2
35,24,5,19,7,7,3
39,24,5,18,8,1,5
43,23,5,18,9,2,0
46,26,0,17,7,0,4
46,26,0,13,11,4,0
35,22,5,20,8,7,3
39,25,7,25,0,3,1
36,23,5,21,6,4,5
40,23,5,22,5,0,5
40,25,8,25,0,0,2
21.8,25.2,0,24,0,25,4
37,25,0,25,0,9,4
42,25,0,25,0,6,2
43,26,5,24,0,2,0
49,25,0,20,5,1,0
34,20,5,25,5,9,2
38,25,7,25,0,5,0
43,25,5,25,0,1,1
