Ni,Ti,Cu,Hf,Zr,Pd,Co,Predicted Ms (C),Predicted Hysteresis (C),Predicted Enthalpy (J/g),predicted_transformation_strain
22.0,24.0,5.0,25.0,0.0,24.0,0.0,174.78316515433465,70.24822276880457,18.11103796364122,11.587534927377266
21.0,25.0,5.0,24.0,0.0,25.0,0.0,184.62334857976447,67.71008663258974,18.55285485402834,11.629467010527414
21.0,24.0,5.0,25.0,0.0,25.0,0.0,182.3001596234559,70.52316273887502,18.540773951478496,11.587534927377266
46.2,25.8,0.0,14.000000000000002,10.0,0.0,4.0,194.5526819067092,46.06668343455755,27.145874856104008,11.460307343232348
