45,25,0,6,19,5,0
36,25,5,11,14,5,4
43,24,5,15,11,1,1
32.2,28.8,6,21,0,12,0
39.2,22.8,0,19,8,6,5
43,23,6,19,8,1,0
41,25,6,18,7,0,3
38,24,5,20,6,2,5
45,23,0,8,19,5,0
36,24,5,19,7,6,3
36,23,5,19,8,7,2
35,24,5,19,7,7,3
39,24,5,18,8,1,5
43,23,5,18,9,2,0
46,26,0,17,7,0,4
46,26,0,13,11,4,0
35,22,5,20,8,7,3
39,25,7,25,0,3,1
36,23,5,21,6,4,5
40,23,5,22,5,0,5
40,25,8,25,0,0,2
21.8,25.2,0,24,0,25,4
37,25,0,25,0,9,4
42,25,0,25,0,6,2
43,26,5,24,0,2,0
49,25,0,20,5,1,0
34,20,5,25,5,9,2
38,25,7,25,0,5,0
43,25,5,25,0,1,1
50,28,0,6,16,0,0
49,29,0,21,0,0,1
49,28,0,22,0,0,1
48,26,0,6,18,0,2
48,26,0,8,16,0,2
48,26,0,19,5,0,2
48,26,0,24,0,0,2
47,26,0,19,5,1,2
43,24,5,20,6,0,2
37,25,11,25,0,0,2
36,20,12,25,5,0,2
47,20,0,10,20,0,3
47,24,0,21,5,0,3
46,20,0,15,15,1,3
46,20,0,17,13,1,3
46,22,0,21,7,1,3
46,20,0,22,8,1,3
42,22,5,21,7,0,3
42,20,5,22,8,0,3
35,20,12,23,7,0,3
46,21,0,9,20,0,4
46,21,0,12,17,0,4
41,20,5,16,14,0,4
41,20,5,18,12,0,4
38,20,8,24,6,0,4
36,20,10,21,9,0,4
36,20,10,25,5,0,4
45,25,0,11,14,0,5
45,26,0,24,0,0,5
